Nome,Carta_Scelta,Punteggio
Jack,Otto di Cuori,2
Alice,Otto di Quadri,8
Alice,Sei di Quadri,8
Alice,Quattro di Fiori,5
Jack,Tre di Cuori,7
David,Regina di Cuori,4
David,Nove di Quadri,6
David,Otto di Fiori,3
Frank,Tre di Cuori,8
Grace,Sette di Cuori,3
David,Tre di Fiori,4
David,Tre di Quadri,9
Grace,Nove di Picche,4
David,Nove di Quadri,8
Ivy,Re di Quadri,1
Carol,Cinque di Cuori,10
Eva,Dieci di Cuori,6
David,Otto di Cuori,8
Carol,Otto di Picche,7
David,Otto di Picche,8
Frank,Dieci di Fiori,9
Jack,Fante di Quadri,8
David,Quattro di Fiori,5
Alice,Quattro di Cuori,7
Henry,Sette di Cuori,6
Eva,Asso di Fiori,3
Eva,Sette di Quadri,1
Alice,Cinque di Picche,6
Alice,Re di Cuori,1
Eva,Asso di Fiori,6
David,Nove di Fiori,10
Frank,Asso di Cuori,6
Carol,Dieci di Quadri,10
Carol,Cinque di Quadri,7
Frank,Dieci di Cuori,9
Carol,Tre di Quadri,6
Eva,Quattro di Picche,10
Eva,Sette di Quadri,10
Carol,Fante di Quadri,9
Jack,Regina di Picche,8
Eva,Dieci di Quadri,6
Bob,Sette di Picche,7
Frank,Asso di Quadri,7
Jack,Asso di Picche,10
Frank,Due di Picche,5
Jack,Re di Quadri,1
Frank,Quattro di Cuori,2
Eva,Regina di Fiori,10
David,Regina di Fiori,4
Henry,Otto di Picche,2
Frank,Dieci di Fiori,2
Ivy,Regina di Picche,2
Grace,Otto di Cuori,1
Jack,Quattro di Fiori,7
Henry,Sette di Picche,10
Frank,Re di Cuori,5
Bob,Sette di Picche,2
David,Nove di Fiori,5
Eva,Re di Cuori,3
David,Re di Picche,9
Carol,Otto di Quadri,3
David,Quattro di Fiori,1
Eva,Re di Cuori,2
Alice,Asso di Picche,2
David,Re di Cuori,3
Eva,Cinque di Fiori,5
Alice,Tre di Picche,4
Eva,Dieci di Cuori,9
Eva,Cinque di Cuori,9
Jack,Re di Picche,8
Bob,Re di Quadri,6
Ivy,Regina di Cuori,7
Henry,Fante di Quadri,8
Alice,Otto di Fiori,7
Carol,Asso di Quadri,7
Eva,Sei di Cuori,1
Ivy,Asso di Picche,2
Ivy,Asso di Cuori,4
Eva,Due di Quadri,4
Eva,Otto di Quadri,4
Alice,Cinque di Fiori,1
Frank,Re di Quadri,7
Eva,Fante di Cuori,6
Henry,Re di Fiori,7
Ivy,Tre di Cuori,1
Henry,Otto di Cuori,6
Alice,Otto di Cuori,9
Henry,Fante di Fiori,6
Eva,Nove di Fiori,2
Bob,Tre di Fiori,10
Carol,Re di Picche,3
Carol,Regina di Quadri,9
Henry,Regina di Cuori,6
Frank,Fante di Picche,5
Ivy,Quattro di Fiori,9
Alice,Due di Cuori,1
Bob,Otto di Quadri,1
David,Re di Quadri,6
Henry,Regina di Quadri,9
Alice,Regina di Cuori,8
Henry,Quattro di Cuori,5
Jack,Otto di Cuori,5
Alice,Cinque di Quadri,4
Jack,Cinque di Quadri,6
Eva,Tre di Cuori,2
Frank,Sei di Fiori,10
David,Due di Cuori,4
Alice,Fante di Quadri,3
Bob,Nove di Cuori,4
Alice,Quattro di Quadri,1
Jack,Dieci di Fiori,6
Jack,Due di Picche,4
Carol,Nove di Quadri,1
Henry,Asso di Picche,7
Ivy,Sei di Picche,1
Grace,Sei di Picche,9
Carol,Fante di Fiori,3
Jack,Asso di Fiori,4
Bob,Quattro di Cuori,5
David,Re di Cuori,9
Grace,Otto di Picche,8
Grace,Tre di Quadri,9
Frank,Cinque di Cuori,5
Eva,Nove di Picche,4
Carol,Quattro di Quadri,1
Eva,Cinque di Fiori,3
David,Cinque di Fiori,1
Jack,Due di Picche,1
Ivy,Tre di Cuori,7
Carol,Regina di Quadri,10
Eva,Fante di Cuori,4
Jack,Asso di Picche,10
Bob,Nove di Cuori,8
Alice,Sette di Cuori,5
Eva,Cinque di Picche,9
Alice,Fante di Fiori,6
Carol,Re di Cuori,10
Henry,Re di Picche,9
Ivy,Fante di Quadri,4
Grace,Cinque di Picche,9
Henry,Re di Fiori,7
Ivy,Otto di Cuori,6
Jack,Cinque di Cuori,3
Frank,Dieci di Cuori,8
David,Asso di Cuori,9
Alice,Nove di Cuori,4
Carol,Cinque di Quadri,6
David,Quattro di Cuori,10
Henry,Sette di Picche,2
Carol,Sette di Picche,10
Eva,Tre di Fiori,6
Frank,Cinque di Quadri,1
Carol,Quattro di Quadri,10
Ivy,Sei di Cuori,10
Jack,Quattro di Picche,7
Grace,Nove di Picche,8
Grace,Cinque di Picche,2
Jack,Nove di Quadri,8
David,Cinque di Picche,3
Frank,Fante di Cuori,2
Grace,Sette di Quadri,4
Bob,Tre di Cuori,4
Henry,Dieci di Fiori,9
Henry,Asso di Quadri,1
Eva,Dieci di Quadri,3
Eva,Dieci di Quadri,4
Bob,Asso di Fiori,2
David,Fante di Fiori,3
David,Due di Quadri,2
Carol,Due di Cuori,2
Jack,Cinque di Fiori,4
David,Quattro di Picche,4
Jack,Tre di Cuori,8
Grace,Re di Fiori,2
Jack,Due di Picche,4
Eva,Sei di Picche,4
Frank,Cinque di Picche,2
Alice,Re di Picche,4
Eva,Nove di Fiori,8
Ivy,Tre di Cuori,4
Ivy,Sei di Picche,2
David,Otto di Cuori,3
Henry,Asso di Quadri,1
Alice,Tre di Cuori,1
Grace,Quattro di Quadri,10
David,Regina di Cuori,6
Alice,Sei di Fiori,6
Frank,Due di Cuori,7
Grace,Otto di Picche,10
Eva,Asso di Picche,6
Alice,Tre di Fiori,9
Carol,Due di Fiori,8
Eva,Tre di Cuori,5
Carol,Due di Fiori,6
Eva,Regina di Picche,6
Carol,Quattro di Fiori,3
Frank,Due di Quadri,6
Grace,Nove di Fiori,9
Bob,Cinque di Quadri,8
Grace,Fante di Picche,7
Carol,Re di Quadri,10
Carol,Sei di Fiori,7
Eva,Quattro di Fiori,6
Bob,Otto di Quadri,4
Eva,Due di Cuori,3
Eva,Due di Fiori,8
Henry,Nove di Picche,2
Jack,Otto di Fiori,7
Henry,Fante di Cuori,1
Jack,Fante di Picche,6
Bob,Asso di Cuori,1
Jack,Regina di Quadri,6
Ivy,Asso di Picche,7
Eva,Quattro di Cuori,2
Bob,Re di Fiori,5
Henry,Dieci di Cuori,4
David,Asso di Quadri,3
David,Quattro di Cuori,8
Carol,Otto di Picche,9
Alice,Tre di Quadri,4
Henry,Dieci di Cuori,7
Jack,Fante di Fiori,3
Bob,Dieci di Cuori,10
Henry,Cinque di Fiori,3
Bob,Regina di Fiori,1
Ivy,Quattro di Cuori,5
Grace,Regina di Cuori,2
David,Otto di Fiori,2
David,Sette di Cuori,2
Frank,Due di Cuori,6
Bob,Due di Picche,3
Bob,Re di Fiori,9
Henry,Due di Quadri,6
Alice,Quattro di Picche,4
Grace,Dieci di Quadri,7
Eva,Nove di Quadri,2
Grace,Due di Fiori,10
Bob,Re di Picche,8
Bob,Fante di Picche,4
Alice,Regina di Fiori,9
Henry,Re di Fiori,2
Ivy,Otto di Fiori,9
Alice,Sette di Picche,8
Jack,Due di Fiori,5
Grace,Asso di Cuori,1
Alice,Asso di Cuori,8
Carol,Tre di Quadri,1
Grace,Tre di Cuori,6
Alice,Cinque di Cuori,10
Frank,Due di Picche,2
Carol,Sette di Fiori,10
Carol,Otto di Picche,2
Frank,Sette di Quadri,8
Henry,Nove di Cuori,9
Frank,Re di Quadri,5
Bob,Fante di Quadri,6
Frank,Cinque di Cuori,10
Jack,Sei di Cuori,2
Jack,Regina di Cuori,5
Frank,Re di Quadri,10
David,Due di Quadri,7
Eva,Cinque di Cuori,6
Jack,Re di Cuori,4
Jack,Asso di Fiori,6
Jack,Fante di Picche,8
Ivy,Regina di Quadri,10
Jack,Dieci di Picche,7
Bob,Fante di Fiori,4
Eva,Tre di Fiori,2
Henry,Quattro di Quadri,8
Eva,Sette di Fiori,1
David,Re di Fiori,5
Alice,Otto di Cuori,4
Grace,Otto di Fiori,4
Eva,Regina di Fiori,2
Grace,Dieci di Fiori,9
Alice,Asso di Picche,2
Frank,Cinque di Picche,6
Jack,Dieci di Quadri,2
Jack,Sei di Picche,5
Frank,Sei di Cuori,7
Grace,Otto di Cuori,2
Henry,Sette di Cuori,1
Frank,Regina di Fiori,7
Eva,Tre di Cuori,7
Ivy,Regina di Quadri,8
Ivy,Cinque di Cuori,9
Bob,Nove di Picche,3
Ivy,Due di Quadri,9
Alice,Quattro di Cuori,10
Eva,Dieci di Fiori,1
Jack,Dieci di Cuori,7
David,Due di Quadri,4
Grace,Nove di Fiori,2
Jack,Due di Cuori,9
Bob,Quattro di Picche,4
Eva,Sette di Fiori,1
Ivy,Sette di Cuori,10
Eva,Asso di Fiori,2
Frank,Sette di Fiori,2
Grace,Sei di Quadri,4
Carol,Fante di Fiori,6
Ivy,Cinque di Fiori,3
Alice,Dieci di Cuori,3
Eva,Re di Cuori,9
Alice,Sette di Cuori,3
Alice,Sei di Quadri,2
Henry,Sei di Picche,9
Eva,Nove di Fiori,8
Ivy,Fante di Cuori,9
Frank,Dieci di Fiori,5
David,Sette di Picche,8
Henry,Cinque di Fiori,1
Carol,Cinque di Fiori,6
Henry,Otto di Picche,6
Jack,Dieci di Picche,6
Henry,Fante di Fiori,7
Frank,Quattro di Picche,9
Carol,Due di Picche,2
Grace,Nove di Picche,7
Bob,Regina di Cuori,4
Eva,Due di Quadri,6
Eva,Nove di Fiori,2
Frank,Re di Cuori,9
Alice,Re di Cuori,9
Frank,Fante di Fiori,1
Ivy,Re di Picche,8
Bob,Sei di Picche,2
Bob,Due di Fiori,1
Jack,Otto di Picche,4
David,Asso di Cuori,4
David,Tre di Quadri,3
David,Asso di Quadri,8
Jack,Tre di Picche,6
Henry,Regina di Picche,5
Henry,Dieci di Cuori,6
Ivy,Cinque di Quadri,3
Grace,Fante di Cuori,9
Frank,Sei di Picche,1
David,Re di Picche,10
Frank,Regina di Cuori,1
Jack,Nove di Cuori,4
Bob,Re di Quadri,4
Bob,Sei di Picche,5
Grace,Regina di Fiori,4
Alice,Nove di Fiori,5
Ivy,Fante di Cuori,4
Carol,Sei di Picche,6
David,Otto di Quadri,4
Ivy,Cinque di Fiori,6
Ivy,Fante di Picche,8
Bob,Asso di Picche,6
Frank,Sette di Quadri,8
Henry,Tre di Picche,4
Eva,Asso di Fiori,3
Alice,Re di Picche,2
Jack,Asso di Fiori,9
Carol,Regina di Quadri,6
Frank,Regina di Quadri,5
Carol,Fante di Quadri,1
Jack,Regina di Picche,8
Carol,Tre di Cuori,2
Henry,Sei di Cuori,10
Eva,Dieci di Cuori,10
Jack,Dieci di Picche,6
Henry,Asso di Cuori,7
Grace,Asso di Cuori,2
Henry,Otto di Cuori,10
Carol,Regina di Picche,2
Eva,Tre di Cuori,3
Alice,Sei di Picche,2
David,Sette di Fiori,10
Carol,Cinque di Quadri,7
Carol,Due di Picche,8
Eva,Cinque di Quadri,5
David,Tre di Cuori,5
Alice,Dieci di Picche,4
Henry,Nove di Cuori,2
Alice,Nove di Cuori,4
Bob,Sei di Cuori,6
Ivy,Nove di Quadri,5
Carol,Re di Cuori,1
Carol,Regina di Picche,4
Jack,Sette di Quadri,1
Frank,Sette di Quadri,2
Carol,Otto di Quadri,7
Carol,Nove di Fiori,9
Bob,Dieci di Fiori,1
Eva,Regina di Fiori,6
Carol,Asso di Cuori,3
David,Regina di Cuori,3
David,Asso di Cuori,2
Ivy,Fante di Picche,1
Ivy,Sette di Quadri,3
Frank,Otto di Picche,4
Grace,Cinque di Cuori,10
Bob,Fante di Cuori,2
Eva,Cinque di Quadri,9
Ivy,Dieci di Picche,2
Eva,Cinque di Quadri,4
Bob,Otto di Fiori,7
Henry,Nove di Picche,5
Grace,Nove di Fiori,8
Eva,Re di Fiori,7
Bob,Nove di Fiori,7
Carol,Sette di Cuori,5
David,Tre di Cuori,2
David,Tre di Cuori,3
Frank,Re di Fiori,8
Alice,Dieci di Cuori,1
Ivy,Due di Fiori,10
Jack,Sette di Cuori,7
David,Re di Cuori,1
Frank,Sette di Cuori,9
Ivy,Otto di Picche,6
Frank,Sei di Fiori,9
Jack,Asso di Picche,6
Grace,Dieci di Fiori,1
Henry,Due di Cuori,10
Grace,Due di Picche,3
Frank,Dieci di Quadri,4
Ivy,Otto di Fiori,4
Henry,Nove di Quadri,3
Grace,Sette di Picche,10
Henry,Fante di Quadri,9
Bob,Fante di Picche,10
Frank,Re di Picche,5
Frank,Regina di Fiori,5
Alice,Dieci di Quadri,7
Alice,Cinque di Cuori,10
David,Quattro di Quadri,6
Frank,Sei di Fiori,5
Ivy,Cinque di Picche,9
Carol,Due di Fiori,2
Grace,Cinque di Fiori,4
Frank,Fante di Quadri,4
Frank,Quattro di Picche,6
Henry,Due di Picche,8
David,Fante di Cuori,3
Bob,Re di Fiori,4
Ivy,Tre di Picche,3
Alice,Sei di Quadri,1
Eva,Sette di Quadri,9
Frank,Otto di Cuori,5
Eva,Dieci di Quadri,3
Henry,Sei di Cuori,1
Ivy,Regina di Cuori,9
Jack,Sette di Picche,6
Jack,Sei di Picche,6
Jack,Due di Quadri,8
Jack,Otto di Cuori,3
Jack,Regina di Quadri,10
Carol,Sette di Picche,1
Henry,Due di Fiori,5
Alice,Cinque di Fiori,3
Eva,Quattro di Quadri,6
Henry,Due di Quadri,2
Carol,Dieci di Cuori,1
Frank,Nove di Quadri,5
Henry,Sette di Cuori,2
Henry,Sette di Cuori,2
Eva,Re di Fiori,9
David,Sette di Picche,8
Bob,Otto di Cuori,2
Grace,Regina di Picche,5
Bob,Regina di Fiori,9
David,Asso di Fiori,1
Ivy,Regina di Picche,4
Eva,Dieci di Quadri,10
